id,room,temperature,created_at
146,B,22.27,2025-01-01 12:00:00
147,C,22.66,2025-01-01 12:00:00
148,A,21.81,2025-01-01 12:15:00
149,B,20.81,2025-01-01 12:15:00
150,C,23.29,2025-01-01 12:15:00
151,A,22.6,2025-01-01 12:30:00
152,B,21.42,2025-01-01 12:30:00
153,C,24.03,2025-01-01 12:30:00
154,A,22.83,2025-01-01 12:45:00
155,B,19.88,2025-01-01 12:45:00
156,C,24.41,2025-01-01 12:45:00
157,A,23.37,2025-01-01 13:00:00
158,B,21.99,2025-01-01 13:00:00
159,C,23.64,2025-01-01 13:00:00
160,A,23.45,2025-01-01 13:15:00
161,B,22.14,2025-01-01 13:15:00
162,C,23.77,2025-01-01 13:15:00
163,A,24.25,2025-01-01 13:30:00
164,B,22.67,2025-01-01 13:30:00
165,C,24.25,2025-01-01 13:30:00
166,A,24.32,2025-01-01 13:45:00
167,B,21.22,2025-01-01 13:45:00
168,C,24.3,2025-01-01 13:45:00
169,A,20.49,2025-01-01 14:00:00
170,B,23.31,2025-01-01 14:00:00
171,C,23.61,2025-01-01 14:00:00
172,A,22.75,2025-01-01 14:15:00
173,B,21.51,2025-01-01 14:15:00
174,C,25.0,2025-01-01 14:15:00
175,A,23.29,2025-01-01 14:30:00
176,B,22.09,2025-01-01 14:30:00
177,C,24.55,2025-01-01 14:30:00
178,A,22.92,2025-01-01 14:45:00
179,B,21.7,2025-01-01 14:45:00
180,C,23.02,2025-01-01 14:45:00
181,A,23.81,2025-01-01 15:00:00
182,B,23.62,2025-01-01 15:00:00
183,C,23.89,2025-01-01 15:00:00
184,A,22.11,2025-01-01 15:15:00
185,B,19.26,2025-01-01 15:15:00
186,C,22.85,2025-01-01 15:15:00
187,A,24.58,2025-01-01 15:30:00
188,B,22.52,2025-01-01 15:30:00
189,C,22.73,2025-01-01 15:30:00
190,A,22.37,2025-01-01 15:45:00
191,B,21.6,2025-01-01 15:45:00
192,C,25.76,2025-01-01 15:45:00
193,A,22.79,2025-01-01 16:00:00
194,B,21.28,2025-01-01 16:00:00
195,C,23.0,2025-01-01 16:00:00
196,A,21.91,2025-01-01 16:15:00
197,B,19.53,2025-01-01 16:15:00
198,C,22.34,2025-01-01 16:15:00
199,A,21.15,2025-01-01 16:30:00
200,B,20.58,2025-01-01 16:30:00
201,C,22.8,2025-01-01 16:30:00
202,A,22.53,2025-01-01 16:45:00
203,B,22.54,2025-01-01 16:45:00
204,C,23.43,2025-01-01 16:45:00
205,A,23.19,2025-01-01 17:00:00
206,B,19.08,2025-01-01 17:00:00
207,C,22.87,2025-01-01 17:00:00
208,A,21.35,2025-01-01 17:15:00
209,B,22.45,2025-01-01 17:15:00
210,C,24.03,2025-01-01 17:15:00
211,A,23.92,2025-01-01 17:30:00
212,B,24.23,2025-01-01 17:30:00
213,C,23.49,2025-01-01 17:30:00
214,A,22.37,2025-01-01 17:45:00
215,B,22.19,2025-01-01 17:45:00
216,C,24.32,2025-01-01 17:45:00
217,A,21.53,2025-01-01 18:00:00
218,B,19.82,2025-01-01 18:00:00
219,C,23.34,2025-01-01 18:00:00
220,A,22.83,2025-01-01 18:15:00
221,B,18.73,2025-01-01 18:15:00
222,C,24.26,2025-01-01 18:15:00
223,A,25.32,2025-01-01 18:30:00
224,B,23.15,2025-01-01 18:30:00
225,C,22.2,2025-01-01 18:30:00
226,A,23.04,2025-01-01 18:45:00
227,B,18.36,2025-01-01 18:45:00
228,C,23.54,2025-01-01 18:45:00
229,A,20.91,2025-01-01 19:00:00
230,B,20.78,2025-01-01 19:00:00
231,C,23.17,2025-01-01 19:00:00
232,A,21.97,2025-01-01 19:15:00
233,B,18.51,2025-01-01 19:15:00
234,C,23.5,2025-01-01 19:15:00
235,A,23.08,2025-01-01 19:30:00
236,B,20.72,2025-01-01 19:30:00
237,C,23.82,2025-01-01 19:30:00
238,A,21.57,2025-01-01 19:45:00
239,B,21.29,2025-01-01 19:45:00
240,C,23.35,2025-01-01 19:45:00
241,A,24.29,2025-01-01 20:00:00
242,B,23.24,2025-01-01 20:00:00
243,C,23.19,2025-01-01 20:00:00
244,A,21.0,2025-01-01 20:15:00
245,B,19.33,2025-01-01 20:15:00
246,C,24.26,2025-01-01 20:15:00
247,A,22.66,2025-01-01 20:30:00
248,B,19.37,2025-01-01 20:30:00
249,C,22.78,2025-01-01 20:30:00
250,A,22.9,2025-01-01 20:45:00
251,B,22.7,2025-01-01 20:45:00
252,C,23.78,2025-01-01 20:45:00
253,A,21.42,2025-01-01 21:00:00
254,B,21.16,2025-01-01 21:00:00
255,C,23.8,2025-01-01 21:00:00
256,A,22.16,2025-01-01 21:15:00
257,B,19.1,2025-01-01 21:15:00
258,C,24.4,2025-01-01 21:15:00
259,A,23.65,2025-01-01 21:30:00
260,B,20.62,2025-01-01 21:30:00
261,C,23.25,2025-01-01 21:30:00
262,A,23.33,2025-01-01 21:45:00
263,B,20.42,2025-01-01 21:45:00
264,C,23.22,2025-01-01 21:45:00
265,A,21.89,2025-01-01 22:00:00
266,B,22.48,2025-01-01 22:00:00
267,C,23.79,2025-01-01 22:00:00
268,A,23.65,2025-01-01 22:15:00
269,B,24.33,2025-01-01 22:15:00
270,C,22.43,2025-01-01 22:15:00
271,A,20.91,2025-01-01 22:30:00
272,B,19.24,2025-01-01 22:30:00
273,C,23.1,2025-01-01 22:30:00
274,A,22.5,2025-01-01 22:45:00
275,B,21.15,2025-01-01 22:45:00
276,C,23.34,2025-01-01 22:45:00
277,A,23.25,2025-01-01 23:00:00
278,B,20.35,2025-01-01 23:00:00
279,C,23.99,2025-01-01 23:00:00
280,A,22.43,2025-01-01 23:15:00
281,B,22.7,2025-01-01 23:15:00
282,C,24.76,2025-01-01 23:15:00
283,A,22.87,2025-01-01 23:30:00
284,B,22.62,2025-01-01 23:30:00
285,C,24.44,2025-01-01 23:30:00
286,A,23.45,2025-01-01 23:45:00
287,B,22.95,2025-01-01 23:45:00
288,C,24.28,2025-01-01 23:45:00
289,A,24.05,2025-01-02 00:00:00
290,B,24.02,2025-01-02 00:00:00
291,C,23.42,2025-01-02 00:00:00
292,A,23.54,2025-01-02 00:15:00
293,B,21.0,2025-01-02 00:15:00
294,C,25.31,2025-01-02 00:15:00
295,A,22.32,2025-01-02 00:30:00
296,B,21.57,2025-01-02 00:30:00
297,C,22.9,2025-01-02 00:30:00
298,A,24.58,2025-01-02 00:45:00
299,B,20.13,2025-01-02 00:45:00
300,C,24.02,2025-01-02 00:45:00
301,A,24.83,2025-01-02 01:00:00
302,B,24.08,2025-01-02 01:00:00
303,C,23.94,2025-01-02 01:00:00
304,A,22.91,2025-01-02 01:15:00
305,B,23.82,2025-01-02 01:15:00
306,C,23.91,2025-01-02 01:15:00
307,A,24.32,2025-01-02 01:30:00
308,B,24.87,2025-01-02 01:30:00
309,C,24.09,2025-01-02 01:30:00
310,A,24.2,2025-01-02 01:45:00
311,B,19.36,2025-01-02 01:45:00
312,C,23.6,2025-01-02 01:45:00
313,A,23.37,2025-01-02 02:00:00
314,B,23.64,2025-01-02 02:00:00
315,C,24.98,2025-01-02 02:00:00
316,A,23.56,2025-01-02 02:15:00
317,B,20.09,2025-01-02 02:15:00
318,C,22.37,2025-01-02 02:15:00
319,A,22.9,2025-01-02 02:30:00
320,B,21.58,2025-01-02 02:30:00
321,C,24.12,2025-01-02 02:30:00
322,A,23.55,2025-01-02 02:45:00
323,B,21.82,2025-01-02 02:45:00
324,C,26.03,2025-01-02 02:45:00
325,A,23.57,2025-01-02 03:00:00
326,B,23.54,2025-01-02 03:00:00
327,C,24.84,2025-01-02 03:00:00
328,A,25.61,2025-01-02 03:15:00
329,B,24.89,2025-01-02 03:15:00
330,C,23.83,2025-01-02 03:15:00
331,A,26.1,2025-01-02 03:30:00
332,B,24.09,2025-01-02 03:30:00
333,C,25.91,2025-01-02 03:30:00
334,A,22.98,2025-01-02 03:45:00
335,B,25.4,2025-01-02 03:45:00
336,C,25.69,2025-01-02 03:45:00
337,A,24.13,2025-01-02 04:00:00
338,B,22.79,2025-01-02 04:00:00
339,C,24.65,2025-01-02 04:00:00
340,A,23.74,2025-01-02 04:15:00
341,B,22.82,2025-01-02 04:15:00
342,C,23.92,2025-01-02 04:15:00
343,A,23.31,2025-01-02 04:30:00
344,B,24.72,2025-01-02 04:30:00
345,C,25.14,2025-01-02 04:30:00
346,A,24.57,2025-01-02 04:45:00
347,B,23.87,2025-01-02 04:45:00
348,C,25.24,2025-01-02 04:45:00
349,A,25.2,2025-01-02 05:00:00
350,B,23.68,2025-01-02 05:00:00
351,C,24.32,2025-01-02 05:00:00
352,A,25.32,2025-01-02 05:15:00
353,B,23.02,2025-01-02 05:15:00
354,C,24.8,2025-01-02 05:15:00
355,A,26.1,2025-01-02 05:30:00
356,B,20.76,2025-01-02 05:30:00
357,C,24.15,2025-01-02 05:30:00
358,A,26.81,2025-01-02 05:45:00
359,B,21.49,2025-01-02 05:45:00
360,C,24.29,2025-01-02 05:45:00
361,A,26.51,2025-01-02 06:00:00
362,B,22.43,2025-01-02 06:00:00
363,C,25.01,2025-01-02 06:00:00
364,A,25.08,2025-01-02 06:15:00
365,B,21.95,2025-01-02 06:15:00
366,C,24.83,2025-01-02 06:15:00
367,A,25.82,2025-01-02 06:30:00
368,B,25.77,2025-01-02 06:30:00
369,C,25.04,2025-01-02 06:30:00
370,A,25.18,2025-01-02 06:45:00
371,B,25.07,2025-01-02 06:45:00
372,C,24.27,2025-01-02 06:45:00
373,A,26.93,2025-01-02 07:00:00
374,B,23.94,2025-01-02 07:00:00
375,C,23.53,2025-01-02 07:00:00
376,A,25.79,2025-01-02 07:15:00
377,B,24.38,2025-01-02 07:15:00
378,C,25.37,2025-01-02 07:15:00
379,A,25.61,2025-01-02 07:30:00
380,B,22.81,2025-01-02 07:30:00
381,C,24.85,2025-01-02 07:30:00
382,A,23.64,2025-01-02 07:45:00
383,B,22.29,2025-01-02 07:45:00
384,C,25.34,2025-01-02 07:45:00
385,A,24.85,2025-01-02 08:00:00
386,B,22.29,2025-01-02 08:00:00
387,C,23.89,2025-01-02 08:00:00
388,A,24.84,2025-01-02 08:15:00
389,B,23.68,2025-01-02 08:15:00
390,C,24.41,2025-01-02 08:15:00
391,A,25.2,2025-01-02 08:30:00
392,B,21.63,2025-01-02 08:30:00
393,C,25.51,2025-01-02 08:30:00
394,A,25.92,2025-01-02 08:45:00
395,B,21.8,2025-01-02 08:45:00
396,C,25.6,2025-01-02 08:45:00
397,A,23.51,2025-01-02 09:00:00
398,B,22.56,2025-01-02 09:00:00
399,C,26.18,2025-01-02 09:00:00
400,A,23.61,2025-01-02 09:15:00
401,B,22.03,2025-01-02 09:15:00
402,C,24.02,2025-01-02 09:15:00
403,A,24.68,2025-01-02 09:30:00
404,B,19.79,2025-01-02 09:30:00
405,C,23.53,2025-01-02 09:30:00
406,A,23.35,2025-01-02 09:45:00
407,B,22.1,2025-01-02 09:45:00
408,C,24.02,2025-01-02 09:45:00
409,A,25.36,2025-01-02 10:00:00
410,B,22.09,2025-01-02 10:00:00
411,C,25.73,2025-01-02 10:00:00
412,A,24.28,2025-01-02 10:15:00
413,B,22.69,2025-01-02 10:15:00
414,C,23.92,2025-01-02 10:15:00
415,A,23.72,2025-01-02 10:30:00
416,B,22.12,2025-01-02 10:30:00
417,C,24.34,2025-01-02 10:30:00
418,A,22.42,2025-01-02 10:45:00
419,B,21.77,2025-01-02 10:45:00
420,C,24.42,2025-01-02 10:45:00
421,A,24.45,2025-01-02 11:00:00
422,B,21.57,2025-01-02 11:00:00
423,C,26.01,2025-01-02 11:00:00
424,A,25.17,2025-01-02 11:15:00
425,B,21.43,2025-01-02 11:15:00
426,C,23.83,2025-01-02 11:15:00
427,A,23.92,2025-01-02 11:30:00
428,B,22.67,2025-01-02 11:30:00
429,C,25.57,2025-01-02 11:30:00
430,A,24.48,2025-01-02 11:45:00
431,B,21.23,2025-01-02 11:45:00
432,C,23.52,2025-01-02 11:45:00
433,A,24.69,2025-01-02 12:00:00
434,B,21.88,2025-01-02 12:00:00
435,C,23.81,2025-01-02 12:00:00
436,A,22.57,2025-01-02 12:15:00
437,B,24.52,2025-01-02 12:15:00
438,C,23.74,2025-01-02 12:15:00
439,A,22.43,2025-01-02 12:30:00
440,B,23.53,2025-01-02 12:30:00
441,C,23.59,2025-01-02 12:30:00
442,A,21.96,2025-01-02 12:45:00
443,B,19.22,2025-01-02 12:45:00
444,C,23.66,2025-01-02 12:45:00
445,A,22.35,2025-01-02 13:00:00
446,B,23.4,2025-01-02 13:00:00
447,C,23.08,2025-01-02 13:00:00
448,A,23.76,2025-01-02 13:15:00
449,B,20.27,2025-01-02 13:15:00
450,C,23.29,2025-01-02 13:15:00
451,A,23.67,2025-01-02 13:30:00
452,B,18.54,2025-01-02 13:30:00
453,C,23.25,2025-01-02 13:30:00
454,A,22.85,2025-01-02 13:45:00
455,B,17.94,2025-01-02 13:45:00
456,C,23.05,2025-01-02 13:45:00
457,A,24.17,2025-01-02 14:00:00
458,B,22.14,2025-01-02 14:00:00
459,C,24.64,2025-01-02 14:00:00
460,A,22.56,2025-01-02 14:15:00
461,B,20.92,2025-01-02 14:15:00
462,C,24.58,2025-01-02 14:15:00
463,A,20.86,2025-01-02 14:30:00
464,B,20.56,2025-01-02 14:30:00
465,C,23.83,2025-01-02 14:30:00
466,A,23.8,2025-01-02 14:45:00
467,B,21.15,2025-01-02 14:45:00
468,C,22.16,2025-01-02 14:45:00
469,A,23.8,2025-01-02 15:00:00
470,B,20.3,2025-01-02 15:00:00
471,C,23.5,2025-01-02 15:00:00
472,A,24.11,2025-01-02 15:15:00
473,B,22.19,2025-01-02 15:15:00
474,C,23.76,2025-01-02 15:15:00
475,A,21.62,2025-01-02 15:30:00
476,B,21.64,2025-01-02 15:30:00
477,C,24.6,2025-01-02 15:30:00
478,A,20.88,2025-01-02 15:45:00
479,B,22.11,2025-01-02 15:45:00
480,C,23.99,2025-01-02 15:45:00
481,A,23.03,2025-01-02 16:00:00
482,B,21.29,2025-01-02 16:00:00
483,C,21.64,2025-01-02 16:00:00
484,A,22.16,2025-01-02 16:15:00
485,B,22.22,2025-01-02 16:15:00
486,C,23.46,2025-01-02 16:15:00
487,A,20.87,2025-01-02 16:30:00
488,B,22.36,2025-01-02 16:30:00
489,C,24.11,2025-01-02 16:30:00
490,A,22.33,2025-01-02 16:45:00
491,B,20.42,2025-01-02 16:45:00
492,C,23.97,2025-01-02 16:45:00
493,A,21.53,2025-01-02 17:00:00
494,B,20.21,2025-01-02 17:00:00
495,C,24.38,2025-01-02 17:00:00
496,A,23.44,2025-01-02 17:15:00
497,B,21.35,2025-01-02 17:15:00
498,C,23.53,2025-01-02 17:15:00
499,A,22.4,2025-01-02 17:30:00
500,B,21.1,2025-01-02 17:30:00
501,C,23.92,2025-01-02 17:30:00
502,A,22.86,2025-01-02 17:45:00
503,B,23.38,2025-01-02 17:45:00
504,C,22.63,2025-01-02 17:45:00
505,A,24.06,2025-01-02 18:00:00
506,B,23.46,2025-01-02 18:00:00
507,C,23.63,2025-01-02 18:00:00
508,A,21.06,2025-01-02 18:15:00
509,B,24.36,2025-01-02 18:15:00
510,C,24.1,2025-01-02 18:15:00
511,A,22.27,2025-01-02 18:30:00
512,B,20.56,2025-01-02 18:30:00
513,C,22.66,2025-01-02 18:30:00
514,A,22.66,2025-01-02 18:45:00
515,B,23.22,2025-01-02 18:45:00
516,C,23.5,2025-01-02 18:45:00
517,A,22.71,2025-01-02 19:00:00
518,B,23.95,2025-01-02 19:00:00
519,C,23.25,2025-01-02 19:00:00
520,A,22.34,2025-01-02 19:15:00
521,B,18.46,2025-01-02 19:15:00
522,C,24.54,2025-01-02 19:15:00
523,A,22.82,2025-01-02 19:30:00
524,B,20.28,2025-01-02 19:30:00
525,C,22.05,2025-01-02 19:30:00
526,A,22.63,2025-01-02 19:45:00
527,B,20.75,2025-01-02 19:45:00
528,C,23.0,2025-01-02 19:45:00
529,A,21.19,2025-01-02 20:00:00
530,B,20.35,2025-01-02 20:00:00
531,C,23.48,2025-01-02 20:00:00
532,A,20.02,2025-01-02 20:15:00
533,B,19.59,2025-01-02 20:15:00
534,C,23.25,2025-01-02 20:15:00
535,A,22.21,2025-01-02 20:30:00
536,B,20.44,2025-01-02 20:30:00
537,C,22.99,2025-01-02 20:30:00
538,A,23.05,2025-01-02 20:45:00
539,B,21.74,2025-01-02 20:45:00
540,C,22.66,2025-01-02 20:45:00
541,A,21.95,2025-01-02 21:00:00
542,B,16.39,2025-01-02 21:00:00
543,C,24.18,2025-01-02 21:00:00
544,A,21.96,2025-01-02 21:15:00
545,B,19.89,2025-01-02 21:15:00
546,C,25.77,2025-01-02 21:15:00
547,A,21.24,2025-01-02 21:30:00
548,B,22.25,2025-01-02 21:30:00
549,C,24.59,2025-01-02 21:30:00
550,A,21.85,2025-01-02 21:45:00
551,B,20.43,2025-01-02 21:45:00
552,C,23.71,2025-01-02 21:45:00
553,A,22.58,2025-01-02 22:00:00
554,B,22.48,2025-01-02 22:00:00
555,C,23.5,2025-01-02 22:00:00
556,A,22.36,2025-01-02 22:15:00
557,B,20.97,2025-01-02 22:15:00
558,C,23.54,2025-01-02 22:15:00
559,A,23.55,2025-01-02 22:30:00
560,B,20.61,2025-01-02 22:30:00
561,C,24.6,2025-01-02 22:30:00
562,A,21.44,2025-01-02 22:45:00
563,B,18.36,2025-01-02 22:45:00
564,C,22.84,2025-01-02 22:45:00
565,A,23.17,2025-01-02 23:00:00
566,B,20.33,2025-01-02 23:00:00
567,C,24.13,2025-01-02 23:00:00
568,A,23.4,2025-01-02 23:15:00
569,B,22.15,2025-01-02 23:15:00
570,C,23.85,2025-01-02 23:15:00
571,A,24.98,2025-01-02 23:30:00
572,B,19.68,2025-01-02 23:30:00
573,C,23.87,2025-01-02 23:30:00
574,A,25.55,2025-01-02 23:45:00
575,B,22.28,2025-01-02 23:45:00
576,C,24.22,2025-01-02 23:45:00
577,A,26.08,2025-01-03 00:00:00
578,B,22.84,2025-01-03 00:00:00
579,C,23.46,2025-01-03 00:00:00
580,A,24.13,2025-01-03 00:15:00
581,B,21.91,2025-01-03 00:15:00
582,C,25.38,2025-01-03 00:15:00
583,A,24.1,2025-01-03 00:30:00
584,B,20.53,2025-01-03 00:30:00
585,C,23.68,2025-01-03 00:30:00
586,A,23.29,2025-01-03 00:45:00
587,B,23.6,2025-01-03 00:45:00
588,C,24.65,2025-01-03 00:45:00
589,A,26.54,2025-01-03 01:00:00
590,B,20.46,2025-01-03 01:00:00
591,C,24.53,2025-01-03 01:00:00
592,A,23.88,2025-01-03 01:15:00
593,B,22.24,2025-01-03 01:15:00
594,C,24.39,2025-01-03 01:15:00
595,A,25.75,2025-01-03 01:30:00
596,B,23.34,2025-01-03 01:30:00
597,C,22.32,2025-01-03 01:30:00
598,A,23.24,2025-01-03 01:45:00
599,B,23.44,2025-01-03 01:45:00
600,C,23.52,2025-01-03 01:45:00
601,A,23.6,2025-01-03 02:00:00
602,B,20.89,2025-01-03 02:00:00
603,C,26.22,2025-01-03 02:00:00
604,A,22.81,2025-01-03 02:15:00
605,B,22.67,2025-01-03 02:15:00
606,C,24.48,2025-01-03 02:15:00
607,A,23.56,2025-01-03 02:30:00
608,B,21.46,2025-01-03 02:30:00
609,C,22.33,2025-01-03 02:30:00
610,A,23.89,2025-01-03 02:45:00
611,B,20.15,2025-01-03 02:45:00
612,C,25.2,2025-01-03 02:45:00
613,A,24.73,2025-01-03 03:00:00
614,B,22.18,2025-01-03 03:00:00
615,C,25.71,2025-01-03 03:00:00
616,A,24.02,2025-01-03 03:15:00
617,B,21.98,2025-01-03 03:15:00
618,C,24.9,2025-01-03 03:15:00
619,A,23.34,2025-01-03 03:30:00
620,B,23.56,2025-01-03 03:30:00
621,C,25.13,2025-01-03 03:30:00
622,A,25.8,2025-01-03 03:45:00
623,B,24.6,2025-01-03 03:45:00
624,C,25.05,2025-01-03 03:45:00
625,A,24.25,2025-01-03 04:00:00
626,B,22.56,2025-01-03 04:00:00
627,C,25.6,2025-01-03 04:00:00
628,A,25.69,2025-01-03 04:15:00
629,B,22.24,2025-01-03 04:15:00
630,C,25.28,2025-01-03 04:15:00
631,A,24.16,2025-01-03 04:30:00
632,B,22.92,2025-01-03 04:30:00
633,C,24.75,2025-01-03 04:30:00
634,A,23.9,2025-01-03 04:45:00
635,B,22.6,2025-01-03 04:45:00
636,C,23.85,2025-01-03 04:45:00
637,A,22.7,2025-01-03 05:00:00
638,B,23.36,2025-01-03 05:00:00
639,C,24.28,2025-01-03 05:00:00
640,A,24.56,2025-01-03 05:15:00
641,B,22.23,2025-01-03 05:15:00
642,C,26.9,2025-01-03 05:15:00
643,A,22.49,2025-01-03 05:30:00
644,B,23.26,2025-01-03 05:30:00
645,C,25.54,2025-01-03 05:30:00
646,A,23.47,2025-01-03 05:45:00
647,B,24.64,2025-01-03 05:45:00
648,C,26.11,2025-01-03 05:45:00
649,A,24.46,2025-01-03 06:00:00
650,B,23.12,2025-01-03 06:00:00
651,C,25.63,2025-01-03 06:00:00
652,A,25.19,2025-01-03 06:15:00
653,B,21.8,2025-01-03 06:15:00
654,C,23.52,2025-01-03 06:15:00
655,A,24.92,2025-01-03 06:30:00
656,B,22.17,2025-01-03 06:30:00
657,C,22.56,2025-01-03 06:30:00
658,A,23.22,2025-01-03 06:45:00
659,B,22.58,2025-01-03 06:45:00
660,C,24.63,2025-01-03 06:45:00
661,A,24.07,2025-01-03 07:00:00
662,B,26.12,2025-01-03 07:00:00
663,C,25.59,2025-01-03 07:00:00
664,A,23.24,2025-01-03 07:15:00
665,B,24.3,2025-01-03 07:15:00
